WindSpeed,WindDirection,AirTemperature,AirPressure,PowerOutput
8.42,201,11.55,987.81,2985
7.06,38,33.5,1011.27,1867
11.77,272,28.59,995.57,8094
4.54,230,7.68,1023.9,515
16.44,85,17.53,1008.84,22489
3.34,125,31.37,1017.01,224
19.76,299,33.34,985.96,38559
15.9,24,19.02,1018.79,20020
5.58,144,23.4,1021.52,849
2.1,12,10.01,1001.92,-42
16.68,211,34.74,1007.28,23230
14.72,24,11.95,1014.42,15957
15.12,67,33.28,987.87,17067
15.88,66,24.49,1002.62,20020
3.33,232,23.23,997.94,292
8.45,108,20.38,986.59,2976
4.09,145,11.92,996.54,276
17.54,110,10.3,983.07,26843
13.22,227,11.61,981.16,11366
7.96,110,10.59,986.08,2604
3.14,33,28.39,1023.34,136
7.6,110,15.5,1004.73,2272
7.85,263,6.74,1023.46,2571
15.13,235,34.07,999.46,17409
13.48,82,31.51,994.03,12193
17.97,41,32.83,1002.78,29028
10.5,100,34.85,999.78,5726
4.15,5,10.22,984.75,286
14.84,179,16.89,1008.84,16375
15.69,281,27.75,989.72,19229
12.1,319,25.88,1007.88,8636
15.88,225,9.62,1009.26,19933
10.89,314,29.47,986.84,6426
11.41,228,11.73,982.76,7579
9.7,288,11.71,1015.13,4514
2.46,149,21.11,1000.69,125
3.94,276,22.79,982.62,288
2.57,197,22.4,1024.77,207
13.46,69,7.74,982.6,12308
7.66,111,31.32,1011.28,2364
11.15,3,12.97,1024.27,6757
18.34,349,8.89,990.76,30864
6.49,330,31.66,986.4,1442
9.39,317,33.67,985.46,4177
15.6,349,30.86,993.65,19045
6.12,94,29.29,984.55,1151
3.39,151,24.66,1011.15,120
7.22,310,21.53,982.8,1712
4.9,136,7.61,1002.92,523
18.73,246,17.25,1024.85,33121
16.55,242,16.18,1016.63,22616
13.4,30,12.79,1007.68,11834
17.69,39,26.7,993.78,27752
16.47,228,19.88,1008.08,22423
5.36,35,7.43,1003.72,898
18.07,222,11.61,999.17,29548
11.71,5,25.5,985.88,8113
16.53,321,7.28,1019.9,22767
18.13,219,30.54,1000.24,29721
7.72,74,19.85,988.76,2206
3.98,3,19.42,996.55,205
6.1,334,22.77,998.64,1108
9.69,133,29.74,1017.24,4692
16.72,117,15.43,1013.01,23423
17.49,93,25.34,1014.62,26799
2.13,61,21.97,980.5,-133
11.19,193,13.01,998.73,6936
9.51,334,31.36,1001.66,4116
6.0,202,28.92,980.86,1197
4.16,25,24.75,991.69,518
8.08,172,30.52,1014.21,2715
18.97,299,31.02,986.17,34034
7.82,132,26.25,1004.09,2539
11.34,325,30.11,989.68,7266
14.65,117,25.92,980.55,15599
8.55,323,25.4,990.85,3028
19.49,274,23.56,1023.91,36974
19.32,211,27.58,1016.07,36062
6.53,224,9.76,1023.18,1376
10.95,19,31.43,1001.95,6423
7.42,112,31.16,984.94,2163
7.13,139,5.88,1004.66,1797
2.66,46,29.77,1000.45,22
12.97,0,8.87,1018.0,11020
11.05,89,15.05,984.41,6627
2.93,141,27.31,1001.97,-37
7.02,319,9.82,986.75,1856
18.35,37,29.54,994.61,31083
6.31,292,29.96,1013.18,1209
4.61,138,20.22,1001.42,485
10.81,355,5.19,996.91,6201
19.74,332,13.61,997.75,38460
6.36,258,23.51,1000.68,1238
14.1,160,34.44,1015.33,14005
15.71,177,23.95,1020.14,19427
6.28,9,12.79,1022.99,1128
15.11,260,24.02,1015.41,17212
8.62,137,21.2,994.19,3022
13.38,171,28.4,1010.97,11941
13.4,12,8.21,999.69,12021
11.64,167,27.83,991.46,7908
3.63,129,21.24,1017.84,263
17.04,83,33.89,981.73,24829
7.77,320,15.26,1020.58,2191
5.36,318,23.98,1000.77,621
2.73,100,32.96,1008.67,154
12.64,328,8.08,1009.67,9893
14.2,272,33.12,1020.28,14334
2.3,264,25.64,1008.65,-57
11.22,37,7.04,1007.63,7219
6.08,93,14.03,983.0,1148
13.61,94,26.25,1003.33,12583
5.14,304,7.02,986.76,801
14.44,68,22.47,1013.18,14948
8.96,317,15.38,1003.05,3509
18.86,235,23.63,1010.61,33416
4.48,333,6.37,981.88,363
8.14,136,31.15,983.82,2702
4.04,75,34.2,1012.23,379
18.64,34,34.07,983.24,32478
17.79,0,27.49,983.21,27968
6.64,295,8.9,980.54,1446
13.88,319,27.75,1023.04,13259
16.71,59,5.74,1013.19,23308
11.99,319,5.66,995.9,8851
11.53,348,14.71,993.34,7693
6.35,327,19.66,995.74,1370
3.68,266,28.11,1014.86,445
18.15,228,25.5,1009.76,30007
18.21,269,18.38,988.33,30147
13.4,315,13.21,987.83,11902
8.1,285,34.91,984.43,2654
8.29,290,17.79,1009.71,2791
15.07,212,18.54,1014.4,16959
18.15,164,9.91,991.93,29919
17.97,4,28.84,980.94,29041
16.04,338,25.81,983.7,20810
13.56,77,11.62,1023.55,12430
3.51,61,7.47,993.3,244
4.91,131,25.41,1014.62,525
18.17,88,24.64,1008.11,30081
12.92,236,13.2,997.19,10770
2.17,41,33.53,989.26,-66
3.83,88,9.53,985.46,279
13.94,295,17.97,1007.68,13583
2.09,327,33.31,1014.86,71
4.89,294,17.59,1008.98,689
11.88,103,24.16,1003.86,8238
14.45,13,16.93,981.89,15001
13.74,287,13.23,1023.58,13033
6.04,178,34.52,1015.94,1029
14.82,124,17.28,993.18,16298
6.27,352,31.82,1024.1,990
7.86,22,11.9,1007.08,2699
15.44,62,11.39,1006.21,18377
13.69,142,5.93,1013.66,12948
17.29,152,24.55,1016.53,25810
13.84,144,16.06,1009.54,13296
12.23,224,30.93,985.76,9295
3.69,308,19.2,995.22,367
8.62,103,34.05,1021.76,3182
6.77,103,10.57,990.11,1537
6.39,38,31.06,996.75,1404
19.51,197,28.3,999.44,37364
9.08,133,28.13,999.77,3762
18.06,66,30.34,1007.58,29648
13.36,178,27.83,1022.44,11898
16.31,41,23.79,990.83,21788
11.05,14,8.94,985.47,6856
12.38,110,5.98,988.89,9446
10.87,156,32.63,1019.91,6347
5.51,288,23.5,1009.06,950
15.0,230,28.9,992.87,16821
7.05,156,19.45,1016.72,1662
2.44,37,8.52,1018.76,4
13.62,96,8.76,1018.09,12579
5.19,288,25.57,1021.35,784
18.93,253,17.91,991.35,33968
19.17,195,11.02,1013.98,35295
18.47,85,19.75,1000.72,31546
8.66,321,6.93,1017.89,3187
2.28,9,22.46,1012.78,128
18.71,4,13.07,1014.94,32866
9.71,122,28.93,1009.53,4635
19.4,329,14.31,987.98,36551
19.35,352,18.66,1004.53,36148
17.35,117,5.35,1024.31,26134
7.3,293,7.17,1022.18,1863
8.93,158,16.77,981.94,3558
17.32,302,19.4,987.42,25814
7.7,227,23.0,985.93,2119
5.05,215,13.75,1012.67,624
12.02,183,25.85,1016.8,8628
18.85,14,30.8,989.61,33499
14.53,156,28.4,1002.76,15324
12.26,135,6.19,1017.83,9216
3.75,260,19.42,1012.98,324
13.07,156,8.15,1004.4,11117
19.82,46,12.26,1006.57,38907
4.52,323,34.6,1002.88,607
11.33,331,9.27,993.39,7272
17.79,172,19.97,1005.43,28133
15.33,129,23.54,1011.0,18021
14.55,94,26.07,1019.3,15385
14.64,114,21.79,1008.63,15617
8.47,242,5.29,1014.25,2938
7.28,291,14.79,987.2,1852
16.57,281,20.53,1000.77,22834
16.58,298,7.64,980.42,22725
17.61,282,15.52,991.1,27289
18.44,68,6.0,1012.69,31421
11.2,147,7.36,1024.63,6996
11.03,10,16.91,984.46,6772
16.37,253,8.98,998.07,21779
13.7,329,22.03,1016.0,12843
14.64,359,25.68,989.18,15696
16.32,37,29.02,1004.98,21735
18.02,133,11.0,1012.99,29092
8.08,199,10.02,1007.72,2757
8.76,22,8.14,988.46,3275
3.69,302,24.09,995.99,284
12.41,345,26.19,1015.27,9556
2.65,301,5.95,1004.94,193
10.38,217,33.09,980.24,5810
11.77,140,6.56,1014.24,8023
7.16,103,21.24,981.59,1770
12.63,209,26.27,1013.56,10092
2.55,110,31.13,989.11,-27
2.67,103,26.42,1023.11,173
16.81,315,29.05,996.56,23834
8.48,170,15.18,994.71,3104
4.29,355,29.44,986.7,418
11.4,323,7.4,993.75,7544
15.86,132,31.84,1019.45,19831
5.88,292,21.43,1024.84,1023
13.21,327,29.52,996.57,11452
3.54,126,18.57,1000.19,310
2.93,105,24.31,1012.49,-57
11.56,91,20.79,1019.88,7721
11.73,286,26.95,1006.69,8103
13.47,50,7.45,997.62,12125
15.07,28,6.81,998.57,17049
19.57,295,12.41,1011.3,37476
11.29,296,9.79,980.14,7290
7.81,213,31.15,1007.88,2278
16.31,266,11.58,996.0,21607
6.87,256,34.28,1015.74,1733
9.9,301,15.11,984.18,4824
3.41,100,10.46,1006.47,120
2.46,345,28.69,1001.64,147
19.33,109,24.76,1008.9,36064
17.05,181,19.95,982.92,24885
14.53,312,21.66,1006.1,15271
9.36,0,26.58,1005.27,4084
5.12,318,11.85,1005.23,765
4.82,54,34.89,1007.16,537
6.5,148,34.24,1010.44,1448
11.89,308,24.51,1016.22,8398
14.86,136,10.99,992.14,16605
13.88,201,25.41,1017.13,13527
7.04,312,7.17,1002.42,1611
19.19,116,5.92,983.47,35386
15.28,153,12.73,982.63,17756
11.98,290,18.88,995.04,8616
13.01,62,31.05,1015.32,11017
9.55,243,26.82,1011.85,4249
6.46,24,27.28,1015.49,1453
8.41,89,17.76,1003.28,2994
15.64,74,15.38,999.81,19100
2.26,293,16.13,986.64,13
4.09,209,34.63,994.77,356
2.83,346,6.2,999.53,154
2.73,16,31.01,983.99,89
17.4,127,22.36,989.93,26056
14.67,250,18.16,1006.92,15787
10.54,178,26.76,1013.1,5710
3.76,181,19.6,1024.93,244
10.85,151,31.2,1021.99,6245
10.52,24,32.02,1008.92,5679
5.12,179,17.65,998.96,794
9.81,197,13.3,1008.63,4688
9.17,343,22.77,1015.35,3815
13.09,160,32.37,985.33,11262
13.43,176,11.32,998.45,12074
2.82,284,23.69,1017.79,322
8.74,62,23.95,997.27,3310
13.27,149,26.99,1005.73,11720
11.06,153,8.95,1006.45,6861
17.42,155,26.47,988.3,26591
13.86,48,32.27,996.3,13238
4.93,336,10.39,995.05,557
3.27,83,12.13,981.18,302
13.56,176,34.14,981.09,12547
2.48,147,10.43,1017.43,183
12.54,117,30.63,992.29,9722
18.92,341,19.77,1003.31,34018
12.36,62,12.42,993.44,9365
8.99,188,31.12,1022.33,3652
13.58,359,18.36,991.67,12507
10.25,48,20.44,999.33,5296
11.82,326,15.78,1019.27,8115
18.95,256,22.79,1017.89,33850
8.95,223,9.91,988.37,3596
19.3,140,16.73,1016.12,35792
18.3,214,34.08,1000.62,30529
5.52,210,12.74,1001.73,819
3.25,317,24.7,986.01,-92
3.81,31,14.76,983.63,354
2.33,157,28.2,1012.76,-177
3.7,284,8.93,1002.34,245
14.29,304,34.09,999.66,14591
3.28,285,18.61,1012.83,230
7.74,143,12.08,1014.45,2314
17.21,18,7.2,987.15,25688
2.42,17,10.09,1007.46,92
16.66,256,20.59,986.09,23225
7.07,77,15.11,1013.81,1694
4.13,174,29.87,1009.56,364
14.54,193,17.93,1023.05,15524
13.32,112,12.46,983.1,11792
17.79,113,23.51,982.57,28170
15.23,221,26.2,992.7,17761
16.46,165,10.01,991.78,22223
7.08,318,10.03,991.11,1558
5.19,131,6.1,1020.78,724
15.51,263,27.09,991.23,18754
16.52,54,24.91,992.24,22407
19.83,358,19.24,1014.17,39055
9.43,130,30.33,1000.24,4260
8.7,287,29.17,1014.95,3065
15.98,265,22.56,982.94,20309
8.13,161,31.05,1001.94,2647
18.75,86,11.18,981.51,32941
17.45,54,8.36,982.82,26493
9.72,287,13.09,1020.79,4511
15.52,177,6.71,986.27,18858
15.58,348,20.94,1003.96,18898
3.86,7,33.1,998.5,218
18.25,320,6.18,995.63,30387
11.09,312,8.66,1020.49,6873
16.88,246,18.57,980.98,24053
7.76,322,33.02,1009.87,2315
18.12,254,14.48,1023.35,29682
9.01,327,20.22,1005.21,3590
2.2,53,6.25,1022.16,-6
18.3,248,9.45,982.35,30676
3.64,238,34.6,998.85,141
7.75,228,33.95,991.71,2366
19.1,66,5.15,1012.89,34980
19.11,50,33.55,1024.16,34926
12.32,96,24.17,991.54,9312
13.37,91,31.04,1009.44,11820
10.07,263,18.64,988.91,5263
7.28,290,20.47,1005.44,1812
7.92,95,19.67,1000.88,2568
14.11,87,25.01,1023.74,14109
15.54,77,9.19,1007.38,18740
16.25,287,5.9,995.73,21428
16.21,119,14.24,985.13,21113
3.64,301,26.14,986.81,274
10.9,164,11.06,990.14,6537
3.04,181,25.2,991.29,31
11.89,222,34.1,1018.28,8388
9.95,310,7.82,1005.26,4929
17.98,6,25.18,1003.55,29121
8.32,329,18.31,985.16,2880
4.11,262,31.04,1018.71,184
4.57,160,10.31,1012.53,424
15.71,150,25.78,983.05,19408
13.13,84,30.14,1011.85,11402
3.82,146,33.34,1004.46,216
3.51,111,25.5,983.68,434
14.62,35,19.92,1000.62,15435
3.31,284,23.54,1001.81,124
16.79,187,31.07,987.46,23657
14.71,81,22.12,1022.56,15894
3.46,1,5.91,1018.25,83
3.53,302,32.93,1010.11,264
19.76,196,25.69,1000.8,38614
8.74,10,25.3,998.53,3342
8.67,233,11.47,1009.29,3291
16.63,194,24.77,1004.54,22953
19.05,118,16.82,982.8,34404
19.75,19,24.54,1003.06,38447
15.56,260,8.2,1016.29,18852
8.77,292,24.74,1000.67,3388
3.5,255,34.98,982.34,218
15.99,221,6.45,1015.38,20496
12.05,225,34.32,989.06,8690
9.64,52,17.21,991.64,4481
18.31,354,31.12,987.41,30749
4.0,341,28.47,994.86,311
10.87,279,22.01,1014.05,6297
2.2,80,27.15,1003.37,-42
10.44,201,31.36,989.22,5772
3.01,157,17.12,1019.5,275
4.14,119,14.81,1019.58,472
4.12,58,25.03,1019.18,372
13.69,214,29.24,990.75,12708
15.43,127,27.87,1000.31,18367
12.5,223,28.93,1024.32,9921
19.32,208,18.07,1014.74,36118
8.75,114,29.54,981.22,3328
7.14,208,8.61,982.93,1882
17.63,13,21.33,1000.88,27271
6.02,8,5.17,1020.91,1021
19.34,39,14.74,1004.24,36060
2.22,236,15.99,1002.4,101
19.46,280,16.89,984.75,36918
2.78,358,25.86,1009.56,92
18.04,200,16.66,1016.99,29267
11.5,245,18.46,997.12,7602
19.87,277,12.13,1014.9,39176
3.33,234,16.2,1023.4,105
11.97,3,11.82,989.17,8609
19.45,153,7.2,1003.55,36714
11.42,28,23.1,992.92,7290
13.33,108,25.05,1015.68,11708
14.52,97,23.58,1005.99,15145
10.18,214,18.9,1008.56,5299
13.3,292,16.39,1015.91,11778
12.52,74,30.9,997.82,9822
18.22,325,20.57,1021.18,30301
2.82,145,19.38,1003.99,231
7.06,127,5.77,987.11,1700
19.11,340,15.24,1011.32,34934
18.02,41,16.41,1015.7,29099
10.2,355,16.96,994.25,5443
13.16,40,22.41,1018.57,11271
6.99,33,21.01,1020.78,1636
5.39,16,23.24,992.46,723
10.35,164,27.95,1024.26,5390
8.36,152,29.39,986.33,2924
12.51,75,26.54,989.09,9810
3.4,86,33.67,988.29,177
19.54,116,5.55,1020.23,37148
19.75,341,10.87,1009.44,38717
14.57,26,5.23,986.84,15519
11.65,312,24.42,999.81,8169
7.57,286,31.94,1007.69,2088
16.65,133,12.3,983.76,23174
14.33,218,32.81,1019.71,14791
4.93,167,6.81,1016.16,570
18.4,97,33.03,1002.73,31288
16.81,267,15.55,1023.52,23709
19.1,236,8.04,998.8,34803
15.06,308,19.58,1024.28,16731
13.04,172,12.7,1010.06,11127
9.53,189,13.55,1008.56,4195
18.79,121,14.22,987.47,33115
17.59,45,29.09,1019.69,27109
2.81,63,21.17,999.24,74
2.47,129,14.34,987.3,119
8.78,309,23.31,980.57,3385
16.59,192,26.48,1005.19,22901
19.77,306,13.18,1003.73,38762
4.71,180,17.41,1012.37,485
12.69,291,8.66,1020.06,10169
8.86,281,10.43,983.57,3573
19.46,28,25.43,1012.92,36950
17.16,148,10.44,988.43,25339
17.09,266,20.75,1018.62,24862
10.44,295,26.27,1016.86,5731
9.47,10,8.21,1004.34,4257
6.92,163,22.02,1011.96,1762
3.01,112,12.7,994.15,79
17.57,186,33.89,1001.2,26953
16.63,294,19.51,1016.97,23064
19.99,231,29.18,1000.67,39684
19.94,226,21.51,996.1,39567
12.0,309,6.3,1002.24,8537
15.84,97,23.99,1017.27,19768
19.01,54,33.54,995.08,34274
17.29,110,23.05,987.82,25965
6.45,151,29.58,1012.04,1423
10.11,245,31.53,1017.17,5141
4.32,68,11.84,984.53,516
19.17,311,11.36,990.79,35117
12.91,288,23.33,986.39,10638
6.12,249,17.33,995.66,1232
14.09,35,30.2,1000.27,14044
13.13,238,32.0,1013.7,11271
8.45,147,15.6,1009.3,2903
4.04,226,12.11,1007.94,475
14.09,243,28.42,995.86,13814
11.37,336,13.24,1017.87,7289
15.9,200,29.68,1001.21,20121
11.36,153,17.71,1024.06,7510
17.34,72,25.03,1008.54,26106
11.93,200,7.87,985.68,8537
12.1,295,23.72,1010.43,8800
17.78,16,18.55,994.63,28160
9.26,128,22.6,1010.88,3980
4.41,216,10.04,983.13,269
2.52,60,27.11,987.87,159
15.59,103,30.88,1018.51,19042
13.17,41,11.5,990.22,11501
14.67,24,7.87,1017.67,15788
5.83,38,5.71,992.57,895
4.45,290,24.26,1008.93,209
2.26,130,23.21,1011.24,73
8.31,228,21.4,1003.07,2977
12.62,107,11.96,993.74,10149
9.06,171,16.73,989.57,3799
9.87,101,22.83,981.49,4800
18.27,353,19.9,993.68,30600
8.27,11,34.63,1009.39,2920
11.25,274,9.09,1022.22,7076
16.11,100,25.85,1019.2,20972
9.14,43,17.13,1014.47,3764
13.2,304,17.85,1015.48,11553
17.52,16,26.53,1009.92,26758
19.09,329,25.77,991.71,34662
4.65,56,34.74,1020.82,608
18.68,310,8.85,1010.18,32684
10.86,302,8.12,1005.22,6467
6.65,11,26.73,984.99,1479
10.26,317,22.35,1000.12,5161
19.64,79,13.22,1000.72,37871
10.87,215,7.38,1018.91,6467
7.92,338,7.57,1004.6,2430
13.4,263,31.83,997.12,11959
6.32,148,10.76,1023.96,1406
3.37,80,14.7,984.98,185
4.32,214,11.8,999.01,448
4.3,197,15.65,981.89,474
4.73,199,7.08,1013.3,428
4.5,24,20.57,1021.31,474
13.54,88,7.03,992.6,12543
5.27,267,29.01,1018.63,913
8.22,142,12.01,993.15,2781
18.14,58,21.2,1020.98,29821
10.53,25,31.4,1013.93,5864
14.02,46,24.53,1016.22,13803
5.1,287,20.99,980.81,801
5.46,265,14.73,1023.33,714
2.74,15,14.99,1012.7,74
